condition,avg_cost_per_admission,admissions_2024,total_cost_2024,avoidable_admissions_2024,avoidable_cost_2024,avoidable_admissions_2034,avoidable_cost_2034,managed_care_cost_alternative,potential_savings_per_admission,savings_5yr,roi_5yr,savings_10yr,roi_10yr
Mental Health,12000.0,2500,30000000,625.0,7500000.0,881.6242253882007,10579490.704658408,1200.0,10800.0,14766882.563116403,9.000000000000002,24288424.19730897,8.999999999999998
Pneumonia,16785.0,1154,19369890,346.2,5810967.0,350.02710599164806,5875204.974069812,1678.5,15106.5,10488568.2377285,9.0,15776252.71439133,9.0
COPD,15800.0,760,12008000,342.0,5403600.0,437.78891411515394,6917064.843019432,1580.0,14220.0,10365549.6772582,8.999999999999996,16590908.035975687,8.999999999999998
Chronic Kidney Disease,18500.0,800,14800000,280.0,5180000.0,327.07404932446747,6050869.912502648,1850.0,16650.0,9700674.426759344,9.0,15146457.348011728,9.0
Stroke,22000.0,500,11000000,140.0,3080000.0,162.47571550352086,3574465.741077459,2200.0,19800.0,5758231.258767486,8.999999999999998,8975250.425737198,8.999999999999998
Heart Failure,17200.0,386,6639200,154.4,2655680.0,216.1188412572808,3717244.0696252296,1720.0,15480.0,5217861.404025414,8.999999999999996,8563381.06668812,8.999999999999998
Type 2 Diabetes,14200.0,344,4884800,130.72,1856224.0,156.2499255904071,2218748.943383781,1420.0,12780.0,3497068.4026913955,9.000000000000002,5493942.451736799,9.000000000000002
Hypertension,11500.0,200,2300000,84.0,966000.0,97.48542930211252,1121082.4369742938,1150.0,10350.0,1805990.712977075,9.0,2814964.9062539395,9.0
